site,pred_recovery_year_at_100pct,pred_recovery_year_at_90pct,pred_recovery_year_at_80pct,recovery_year
Mahe E Patch,1,1,1,17
Mahe NW Carbonate,22,15,7,13
Mahe NW Granite,1,1,1,3
Mahe NW Patch,1,1,1,6
Mahe W Carbonate,1,1,1,11
Mahe W Granite,1,1,1,4
Mahe W Patch,1,1,1,1
Praslin NE Granite,1,1,1,4
Praslin NE Patch,1,1,1,20
Praslin SW Granite,1,1,1,6
Ste Anne Granite,1,1,1,23
Ste Anne Patch,1,1,1,16
