"draw","site_index","cover","site"
20,2,55.3230936175575,"Mahe NW Carbonate"
21,2,56.9114452475484,"Mahe NW Carbonate"
22,2,58.3205688734809,"Mahe NW Carbonate"
23,2,59.5664251991632,"Mahe NW Carbonate"
24,2,60.6918080090368,"Mahe NW Carbonate"
25,2,61.6707751375078,"Mahe NW Carbonate"
26,2,62.5414597074502,"Mahe NW Carbonate"
27,2,63.3092597296128,"Mahe NW Carbonate"
28,2,63.9799150480525,"Mahe NW Carbonate"
29,2,64.5636186068224,"Mahe NW Carbonate"
30,2,65.0592398641221,"Mahe NW Carbonate"
31,2,65.4932285315456,"Mahe NW Carbonate"
32,2,65.8708038932057,"Mahe NW Carbonate"
33,2,66.2001968172188,"Mahe NW Carbonate"
34,2,66.4838100422686,"Mahe NW Carbonate"
35,2,66.7300068277962,"Mahe NW Carbonate"
36,2,66.9416104236552,"Mahe NW Carbonate"
37,2,67.1243279854632,"Mahe NW Carbonate"
38,2,67.2799234181574,"Mahe NW Carbonate"
39,2,67.415657565129,"Mahe NW Carbonate"
40,2,67.5318667914807,"Mahe NW Carbonate"
41,2,67.6321692091643,"Mahe NW Carbonate"
42,2,67.7190834352169,"Mahe NW Carbonate"
43,2,67.7938303064549,"Mahe NW Carbonate"
44,2,67.8586788843688,"Mahe NW Carbonate"
45,2,67.9139804703191,"Mahe NW Carbonate"
46,2,67.96132615874,"Mahe NW Carbonate"
47,2,68.001945297015,"Mahe NW Carbonate"
48,2,68.0368263690683,"Mahe NW Carbonate"
49,2,68.0668117636686,"Mahe NW Carbonate"
50,2,68.0925754219963,"Mahe NW Carbonate"
51,2,68.1145658503569,"Mahe NW Carbonate"
52,2,68.1335603606368,"Mahe NW Carbonate"
53,2,68.1499950541505,"Mahe NW Carbonate"
54,2,68.164146720672,"Mahe NW Carbonate"
55,2,68.1762014456628,"Mahe NW Carbonate"
56,2,68.1864813262115,"Mahe NW Carbonate"
57,2,68.195376506379,"Mahe NW Carbonate"
58,2,68.2030016819634,"Mahe NW Carbonate"
59,2,68.2095758882398,"Mahe NW Carbonate"
60,2,68.2153114917311,"Mahe NW Carbonate"
61,2,68.2202333707424,"Mahe NW Carbonate"
62,2,68.2244321489572,"Mahe NW Carbonate"
63,2,68.2280277214499,"Mahe NW Carbonate"
64,2,68.2311177315131,"Mahe NW Carbonate"
65,2,68.2337732413874,"Mahe NW Carbonate"
66,2,68.2360553312672,"Mahe NW Carbonate"
67,2,68.2380164997071,"Mahe NW Carbonate"
68,2,68.2397018680304,"Mahe NW Carbonate"
69,2,68.2411468966299,"Mahe NW Carbonate"
70,2,68.2423831316283,"Mahe NW Carbonate"
71,2,68.2434467528208,"Mahe NW Carbonate"
72,2,68.2443618588347,"Mahe NW Carbonate"
73,2,68.2451491847182,"Mahe NW Carbonate"
74,2,68.2458265711976,"Mahe NW Carbonate"
75,2,68.246409368524,"Mahe NW Carbonate"
76,2,68.2469107840126,"Mahe NW Carbonate"
77,2,68.2473421811145,"Mahe NW Carbonate"
78,2,68.2477133367725,"Mahe NW Carbonate"
79,2,68.248032662873,"Mahe NW Carbonate"
80,2,68.2483073967999,"Mahe NW Carbonate"
