"param","median","rate95l","rate95u","rate50l","rate50u","param.name"
"rateb",1.08760764115235,-0.441328803011226,2.45375141496232,0.63868032959211,1.54280211886796,"Herbivore biomass"
"ratec",-1.99296531589618,-3.32610393183733,-0.318702591956682,-2.55225368040213,-1.63355391506991,"Juvenile coral density"
"rated",0.728274977950927,-0.850837957100652,2.17162329984866,0.257353490423693,1.18507155082523,"Depth"
"ratee",0.349038010923368,-1.30234130010002,2.08257466122885,-0.149050000517323,0.877138398870991,"Initial complexity"
"ratef",2.40496124382796,0.526766656443831,4.21268058028375,1.89755264435572,3.04363087201039,"Initial coral cover"
"rateg",0.796340841203633,-0.721024235840465,2.60017955753385,0.371511537517668,1.39833716572858,"Wave exposure"
"rateh",3.35903734501354,1.61492139487177,4.85088996626396,2.96301338190753,3.93869581590488,"C:N ratio"
"ratej",1.5608645667903,-0.0658101655362545,3.18359112005797,1.04149078446941,2.05705085945355,"Management"
"ratea",16.3483643415186,14.9517655821736,17.7630808159006,15.9371116793161,16.7633438443541,"intercept"
"sigma",2.14645486397699,1.08261300748526,4.1390981354524,1.49473825676687,2.39696985386334,"sigma"
