site,pred_recovery_year_at_100pct,pred_recovery_year_at_90pct,pred_recovery_year_at_80pct,recovery_year
Mahe E Patch,0,0,0,17
Mahe NW Carbonate,22,15,7,13
Mahe NW Granite,0,0,0,3
Mahe NW Patch,0,0,0,6
Mahe W Carbonate,0,0,0,11
Mahe W Granite,0,0,0,4
Mahe W Patch,0,0,0,1
Praslin NE Granite,0,0,0,4
Praslin NE Patch,0,0,0,20
Praslin SW Granite,0,0,0,6
Ste Anne Granite,0,0,0,23
Ste Anne Patch,1,0,0,16
