"Mahe.E.Patch","Mahe.NW.Carbonate","Mahe.NW.Granite","Mahe.NW.Patch","Mahe.W.Carbonate","Mahe.W.Granite","Mahe.W.Patch","Praslin.NE.Granite","Praslin.NE.Patch","Praslin.SW.Granite","Ste.Anne.Granite","Ste.Anne.Patch"
6.40098995163101,8.42791633890065,9.04821463213659,12.4858384558302,13.5825523128488,15.2946650836669,23.1555355592099,6.58502875251804,4.94274426874074,6.20839871287671,12.7549952654898,7.52367516899622
6.92098076273418,9.99614717287711,10.0465850245766,13.4619582213912,15.0735573189198,17.067093473924,24.4519607886653,9.17643241799272,5.47669770607232,8.02697185789799,13.5821920002244,9.21603536049044
7.49651839734484,11.7991835594352,11.1022129357423,14.4629817806217,16.7336068440228,18.9984901376486,25.7202975493551,12.5698974318863,6.0554309010188,10.2876302883081,14.499572475471,11.1824007668995
8.11399005846889,13.8583745407708,12.2642722733854,15.4970386867619,18.5541591496652,21.1540177746124,27.0748494535405,16.6242239665062,6.70918952951252,13.077698492727,15.446181317067,13.4907251150223
8.77118794546501,16.1508854177524,13.5266492163598,16.6085192143645,20.496975641218,23.4012273756546,28.5376257416257,21.3800413204187,7.42598686356029,16.3548789193201,16.3807287822029,16.1457028063262
9.44956068685932,18.6472113387807,14.9038398413176,17.8040771606664,22.5381432871705,25.7635002916533,30.0443253682533,26.8409633375691,8.20818354957789,20.1118601888118,17.3748449302038,19.1191287881119
10.1728322925544,21.32450052807,16.4079217046096,18.9799934116289,24.6834314162487,28.1709274432946,31.4662595414235,32.6212469905929,9.07218363352852,24.3140060174659,18.4532635699222,22.4393526886381
10.9349315696151,24.1896185960645,17.9487089944119,20.2305834580373,26.9637344989391,30.6857724490244,32.9710212345035,38.576422494424,9.95510473337391,28.9965272320497,19.563110037678,26.0313018148549
11.7385754694254,27.1668395270652,19.5692602995947,21.4802796469566,29.3913573785796,33.2929031161495,34.5124945493943,44.4360812060845,10.9424996424323,33.9685230191098,20.7119156409802,29.8239381928416
12.6087333494382,30.1666940730263,21.3108241470266,22.8080762638277,31.9018324769601,35.8525155356606,36.0717236792726,49.8908724093198,12.0100973932535,39.297874840439,21.9502166992713,33.7743219262359
13.5494204408671,33.1722999412888,23.127214116235,24.17056216229,34.5159696713018,38.3206401451488,37.6550742268085,54.8634710303205,13.088010134267,44.5055341222511,23.1953387084068,37.8206435465336
14.4968289650955,36.2450816161897,25.0213475746683,25.5311447824409,37.2047926619749,40.8351050178771,39.2655357267809,59.3521676844117,14.2678478904539,49.7290929670095,24.5059347534873,41.8912785920134
15.5788948205071,39.2072730008448,26.9570353246087,26.8777858256275,39.9741265496187,43.2928273180189,40.8246812304984,63.155105246163,15.5102057767055,54.8869337015592,25.7859913629467,45.8030359556471
16.6187631509302,42.0261117902315,28.9241088706605,28.2163023541669,42.7026093573837,45.6340015127291,42.3505099334054,66.4128033748442,16.8663726816075,59.843823906259,27.1842279882021,49.680204198107
17.7229495145243,44.665302091441,30.9090728109522,29.5530802163754,45.4720588566888,47.847643067494,43.9437992679221,69.1586666621667,18.2820243688725,64.4238818593151,28.6160576806802,53.3921555533683
18.8358884492308,47.1406948395029,32.8945823712643,30.8697872554337,48.182442260401,49.9584610912371,45.5026989380378,71.4169985275819,19.7257312065892,68.6800343567635,30.117715321223,56.8544073055729
20.0233861043936,49.4530428711579,34.8762365006604,32.1199536845831,50.9148050742208,51.9427698891786,47.0418905817018,73.2763692498269,21.2017508142193,72.6398333786343,31.6246372372063,60.1492418734876
21.2203966945734,51.579962278961,36.8356908655763,33.3774618545185,53.4934321599786,53.7833153975697,48.5123292963112,74.7898238157247,22.7086718015915,76.2015915173372,33.1753907979598,63.1278604231171
22.4655519059368,53.5431821790726,38.7346043622643,34.645152389007,56.0920843482528,55.4827929654974,49.9291376735376,76.0035273529111,24.3432517108146,79.3723488712683,34.7766230160796,65.892040906747
23.739831194357,55.3230936175575,40.6383641716008,35.8105874080359,58.5802366352522,57.0561727873797,51.3384919230253,76.9649252654803,26.0447296879646,82.1945211815248,36.3592512271883,68.4194706518762
25.0479472074662,56.9114452475484,42.4972612966848,36.9470855958423,60.9405207942793,58.4961540590667,52.7445947182948,77.7366471968085,27.7172000110104,84.6841981023509,37.9641462948821,70.6917801321397
26.3759293921351,58.3205688734809,44.2993823669574,38.0428373539476,63.2315740557483,59.837783761382,54.0323566307254,78.3503853624793,29.4279502718834,86.8999722432434,39.6352957299014,72.7232751094944
27.6694414285697,59.5664251991632,46.0369394042781,39.0842429826738,65.4570267298843,61.0206343626967,55.3374688920687,78.8417943572182,31.1726450732339,88.7881555774749,41.3434367671912,74.5507356468824
29.0896033579624,60.6918080090368,47.7384581656722,40.091646814785,67.5709835783087,62.079676810118,56.5180548938891,79.2260031810692,32.9153790740319,90.432786005089,43.0266663111218,76.1557933642216
30.456493401614,61.6707751375078,49.3657376807445,41.0436533363439,69.5610104339467,63.0411938144934,57.6553654018851,79.5370117356533,34.6899607900474,91.8505580420201,44.77283605548,77.5904033808983
31.8221610454506,62.5414597074502,50.9301987561556,41.9432100486411,71.403430577234,63.9081656030566,58.7540589901494,79.7807738638584,36.4375029811426,93.0624957709558,46.4570416244207,78.8524009014211
33.2025429613064,63.3092597296128,52.4407641608057,42.788477912866,73.1755520158966,64.6789747497144,59.8271142622664,79.9723013615768,38.1990609812513,94.101810308845,48.1655475764704,79.9559612099461
34.577895837824,63.9799150480525,53.8209983719718,43.5706320741766,74.7936864307223,65.3875086690237,60.7992266977354,80.1225516954163,39.9448967936836,94.9831705572233,49.8408143153713,80.9270610737794
35.9479138940786,64.5636186068224,55.1189439131119,44.3301156852321,76.3267667533915,66.0141264462381,61.7510922372028,80.2422085314217,41.6581812545855,95.7512834422024,51.4870722383393,81.7896941703357
37.2612024332447,65.0592398641221,56.3381193861388,45.016725096102,77.7670344927152,66.5524827129413,62.6487359830239,80.335889020552,43.3801628105621,96.3897475313931,53.1486900398399,82.5291996257434
38.5938200818152,65.4932285315456,57.4656764935922,45.6569306186772,79.1046931330324,67.0347307006996,63.4978963527636,80.4097736981265,45.0834793630742,96.9431901663128,54.7878616398746,83.1827364251598
